nth,trial,coll.date,site,baggie,colony.id,gps.device,gps.wp,lat,long,depth.below,height.above,camera,habitat,TH.imaging,img.start,img.stop,file.start,file.stop,all.images,filt.images,orientation,notes
151,20,2023-05-26,Jet Ski,7,JH64,64sx,187,17.47578,149.79231,113,44,2,open,no,627,645,P5260627,P5260645,,,flat,
152,20,2023-05-26,Jet Ski,8,JH65,64sx,188,17.47688,149.78984,70,62,2,overhang,no,646,665,P5260646,P5260665,,,very slight northeast,
153,20,2023-05-26,Jet Ski,9,JH66,64sx,189,17.47687,149.78978,68,64,2,open,no,666,687,P5260666,P5260687,,,west,
154,21,2023-05-28,,1,JH67,64sx,194,17.47704,149.78732,60,84,2,open/overhang,no,31,51,P5280031,P5280051,,,flat,
155,21,2023-05-28,,2,JH68,64sx,195,17.47699,149.78732,103,24,2,overhang,yes,52,511,,,,,flat,
156,21,2023-05-28,,3,JH69,64sx,221,17.47797,149.78845,41,97,2,open,no,512,532,,,,,slightly north,
157,21,2023-05-28,,4,JH70,64sx,222,17.47758,149.78896,79,74,2,open,yes,533,1021,,,,,slightly northeast,
158,21,2023-05-28,,5,JH71,64sx,223,17.47769,149.78917,38,87,2,sheltered,no,1022,1036,,,,,flat,
159,21,2023-05-28,,6,JH72,64sx,224,17.47765,149.78929,103,16,2,overhang,no,1037,1048,,,,,flat,
160,21,2023-05-28,,7,JH73,64sx,225,17.47755,149.78998,38,115,2,open,yes,1049,1539,,,,,slightly north,
161,21,2023-05-28,,8,JH74,64sx,226,17.47715,149.78944,76,79,2,open,no,1540,1560,,,,,slightly southeast,
